City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,da lat,11.9465,108.4419,15.45,79,29,1.36,VN,1715034001
114,lethem,3.3803,-59.7968,25.77,86,94,2.07,GY,1715033591
115,tolanaro,-25.0319,46.9987,22.22,80,4,5.73,MG,1715033603
116,bredasdorp,-34.5322,20.0403,15.1,68,0,1.44,ZA,1715033553
117,shemgang,27.2169,90.6579,14.26,93,100,1.67,BT,1715034010
118,ar rutbah,33.0381,40.2848,15.37,61,27,5.87,IQ,1715034012
119,santa helena de goias,-17.8136,-50.5969,25.75,50,26,0.5,BR,1715034014
120,christchurch,-43.5333,172.6333,10.23,86,91,2.06,NZ,1715034016
121,redding,40.5865,-122.3917,19.87,48,100,6.17,US,1715034001
122,iqaluit,63.7506,-68.5145,-1.28,68,7,4.02,CA,1715033554
123,nova sintra,14.8667,-24.7167,23.33,78,5,6.67,CV,1715033565
124,orange,33.7,-117.7675,27.91,51,20,4.63,US,1715034025
125,kaoma,-14.7833,24.8,22.23,54,100,2.13,ZM,1715034027
126,camocim,-2.9022,-40.8411,26.73,82,100,3.78,BR,1715034029
127,papatowai,-46.5619,169.4708,9.57,74,72,5.92,NZ,1715033559
128,chibougamau,49.9168,-74.3659,8.79,71,75,5.66,CA,1715033575
129,huarmey,-10.0681,-78.1522,21.77,77,32,4.55,PE,1715033868
130,hengshui,37.7322,115.7011,16.66,68,83,2.7,CN,1715034037
131,pisco,-13.7,-76.2167,22.04,73,85,3.67,PE,1715033567
132,shanhecun,44.7,127.2,9.01,50,100,4.39,CN,1715034044
133,kununurra,-15.7667,128.7333,17.99,82,83,0.0,AU,1715033488
134,fort bragg,35.139,-79.006,25.08,83,100,3.6,US,1715033564
135,verkhnevilyuysk,63.4453,120.3167,5.47,99,100,5.82,RU,1715034050
136,tiksi,71.6872,128.8694,-1.68,89,84,2.01,RU,1715033562
137,kristiansund,63.1115,7.732,9.03,93,100,4.63,NO,1715033360
138,paoua,7.2427,16.4406,26.34,27,7,0.99,CF,1715033577
139,oriximina,-1.7656,-55.8661,25.97,93,52,1.57,BR,1715034058
140,atafu village,-8.5421,-172.5159,29.88,75,47,4.82,TK,1715033582
141,dolores,-36.3132,-57.6792,14.72,94,100,4.9,AR,1715033525
142,atmakur,15.8833,78.5833,30.81,57,45,2.0,IN,1715034065
143,iron mountain,45.8202,-88.066,20.9,32,0,5.14,US,1715033860
144,margaret river,-33.95,115.0667,12.23,90,9,3.5,AU,1715033556
145,choma,-16.8065,26.9531,18.14,56,0,1.87,ZM,1715034071
146,port shepstone,-30.7414,30.455,22.26,47,0,3.02,ZA,1715034073
147,saipan,15.1355,145.701,29.39,70,20,3.6,MP,1715033583
148,ola,59.5833,151.2833,0.08,88,85,0.73,RU,1715034078
149,adre,13.4667,22.2,27.89,12,0,3.96,TD,1715033838
150,abnub,27.2696,31.1511,21.12,30,0,1.54,EG,1715034082
151,zwedru,6.0667,-8.1281,23.96,98,96,1.4,LR,1715034084
152,nuuk,64.1835,-51.7216,-1.66,59,0,7.2,GL,1715033788
153,alice springs,-23.7,133.8833,8.75,81,94,3.6,AU,1715033450
154,kyelang,32.5833,77.0333,-6.84,77,12,3.56,IN,1715034090
155,berbera,10.4396,45.0143,30.34,74,99,2.59,SO,1715034093
156,george town,5.4112,100.3354,26.64,94,20,1.03,MY,1715033472
157,charters towers,-20.1,146.2667,20.78,80,84,4.14,AU,1715033594
158,sambava,-14.2667,50.1667,22.96,88,99,4.67,MG,1715034099
159,vila velha,-20.3297,-40.2925,25.97,78,0,1.54,BR,1715033746
160,walvis bay,-22.9575,14.5053,14.49,77,0,1.42,NA,1715033757
161,swift current,50.2834,-107.8014,10.45,93,100,6.69,CA,1715034109
162,el galpon,-25.3807,-64.6526,21.83,89,7,2.29,AR,1715034111
163,laguna,38.421,-121.4238,23.08,36,0,3.6,US,1715033590
164,hobyo,5.3505,48.5268,29.24,77,100,5.74,SO,1715033751
165,cabedelo,-6.9811,-34.8339,27.37,86,100,4.69,BR,1715033987
166,talnakh,69.4865,88.3972,-14.33,100,99,2.66,RU,1715033572
167,hermanus,-34.4187,19.2345,14.89,74,26,2.86,ZA,1715033561
168,sikonge,-5.6333,32.7667,18.3,91,33,1.91,TZ,1715033764
169,luderitz,-26.6481,15.1594,15.35,71,0,3.42,NA,1715033575
170,pasni,25.2631,63.471,28.09,63,0,3.98,PK,1715034130
171,ivdel',60.6911,60.4206,3.44,46,100,3.13,RU,1715033569
172,aasiaat,68.7098,-52.8699,-8.82,84,91,2.57,GL,1715033568
173,akobo,7.4344,3.9497,24.57,92,100,1.84,NG,1715034137
174,port lincoln,-34.7333,135.8667,14.36,87,0,3.05,AU,1715033586
175,vilyuysk,63.7553,121.6247,2.78,85,100,4.47,RU,1715034141
176,canela,-29.3656,-50.8156,17.54,87,2,2.2,BR,1715034005
177,port alfred,-33.5906,26.891,19.39,86,0,1.64,ZA,1715033574
178,hamilton,39.1834,-84.5333,22.43,89,100,2.06,US,1715033640
179,zhangatas,43.5667,69.75,17.72,66,96,3.24,KZ,1715034149
180,codrington,-38.2667,141.9667,8.82,95,4,2.13,AU,1715034152
181,haiku-pauwela,20.9219,-156.3051,27.34,78,40,11.83,US,1715034154
182,qaisumah,28.3112,46.1273,25.98,24,0,4.12,SA,1715034156
183,georgetown,5.4112,100.3354,26.64,91,40,1.54,MY,1715034158
184,tofol,5.3248,163.0078,30.88,70,75,5.14,FM,1715034160
185,uturoa,-16.7333,-151.4333,27.76,80,55,9.39,PF,1715034162
186,carutapera,-1.195,-46.02,25.34,95,100,2.06,BR,1715034164
187,palmer,42.1584,-72.3287,22.78,56,75,5.14,US,1715034166
188,nabire,-3.3667,135.4833,25.78,91,98,1.08,ID,1715034168
189,jaumave,23.4167,-99.3833,38.82,21,100,1.76,MX,1715034171
190,kuanda,56.3161,116.0806,12.21,53,100,1.42,RU,1715034173
191,zhuanghe,39.7008,122.9911,13.24,82,100,2.49,CN,1715034175
192,guanica,17.9716,-66.908,26.69,88,42,3.73,PR,1715034177
193,baruun-urt,46.6806,113.2792,11.6,29,5,1.16,MN,1715034179
